Epoch,Train Loss,Test Loss,Training Time (s),MAE Component 1,MAE Component 2,MAE Component 3,MAE Component 4,MAE Component 5,MAE Component 6
1,0.05197113908265001,0.012727456508183797,5.623988151550293,0.0010024633,0.00090897083,0.0012191106,0.0014321166,0.01072399,170.7236
2,0.0010326346297754373,0.01150399984864223,5.520155668258667,0.00079100335,0.0008348339,0.0010023201,0.0013889461,0.0113523975,144.99931
3,0.0005247612676600139,0.010663267830929227,5.528170585632324,0.0007831467,0.00082828157,0.0009226813,0.0014512637,0.012718914,147.30017
4,0.000313668604793696,0.009959726855414368,5.5392537117004395,0.0006845741,0.0007849101,0.0007827804,0.0013867926,0.012534792,146.24983
5,0.0002017300924375036,0.01037534875812311,5.4281392097473145,0.0007071006,0.0007404251,0.00081184244,0.001407684,0.012433216,148.27504
6,0.00015752435644742608,0.0091025112104351,5.3362462520599365,0.00069738866,0.00073387806,0.0007291854,0.0013661465,0.012943929,146.97408
7,0.00012445608893122884,0.009328253716668275,5.548467397689819,0.00067005487,0.0007262911,0.0007352045,0.0013782326,0.0130170025,149.3888
8,9.642588838387722e-05,0.009395462880317321,5.679018497467041,0.00065992144,0.0007843572,0.0007199605,0.001344649,0.015028961,149.67192
9,9.994570927869754e-05,0.009448418122434198,5.45448899269104,0.0006675835,0.00074946065,0.0006992315,0.0013570986,0.013916189,148.64835
10,0.00010570400590152443,0.009953719166715834,5.194658279418945,0.0006868202,0.0007607933,0.0007377095,0.0013754505,0.013079231,151.09068
11,7.123194314010286e-05,0.009493464686927907,5.200212717056274,0.0006582072,0.00072858017,0.0007023501,0.0013521335,0.014117969,151.37453
12,6.319606670764487e-05,0.009494186555978256,5.139942169189453,0.0006673514,0.0007148344,0.0007196613,0.0013396435,0.013197667,151.16933
13,9.163093016259558e-05,0.009954080050724037,5.129645586013794,0.00071464875,0.0007053177,0.00074559863,0.0013360229,0.012840593,150.67432
14,6.608904175645456e-05,0.009926533195174309,5.1194984912872314,0.00066131353,0.00071091624,0.0007303669,0.0013362494,0.012651153,151.41039
15,7.25894030744151e-05,0.009739299278550743,5.198896646499634,0.00070283253,0.00069982046,0.0007009808,0.0013257095,0.014541246,152.35306
16,5.65124227617436e-05,0.009859175390679717,5.15442419052124,0.0006483606,0.00078166043,0.0007323883,0.0013636923,0.012434049,152.66386
17,5.906476474514022e-05,0.009644650015448697,5.128875255584717,0.00068206823,0.0007550194,0.00068647915,0.0013325914,0.014543567,153.03171
18,5.272063626766844e-05,0.009529667490087138,5.192148447036743,0.0006613537,0.00070373365,0.0006828335,0.0013079997,0.01357555,152.90114
19,5.246637966646495e-05,0.009047684935354041,5.086662530899048,0.0006821912,0.0006522766,0.00070801424,0.0013348697,0.012129343,152.27051
20,5.6289502700023334e-05,0.008969315864091075,5.102478265762329,0.000613332,0.0006728829,0.00078909687,0.0013235895,0.013113473,152.46169
21,6.319517781265912e-05,0.010169858908628338,5.091435670852661,0.00067602366,0.00069028605,0.0006968954,0.0014069926,0.012921076,154.79427
22,7.704355597946184e-05,0.009188830990106917,5.138553142547607,0.0006496857,0.0007099861,0.0007934408,0.0013790029,0.014115505,155.493
23,5.945551365437143e-05,0.009571422172486792,5.126128673553467,0.00069557625,0.0007266869,0.00072415516,0.0013632674,0.013810838,155.96815
24,7.004645778248796e-05,0.009157120197096186,5.1038384437561035,0.00069515227,0.0007779352,0.0007233228,0.0013723745,0.015282031,156.07542
25,6.187807027716926e-05,0.009279537989375954,5.169732570648193,0.0006413756,0.000767218,0.00074905157,0.0013730166,0.014564616,155.58687
26,6.797505873847058e-05,0.009426337643020725,5.127322435379028,0.00069055,0.00077834085,0.00068919477,0.0014248798,0.0129945185,158.14304
27,4.6738880584699037e-05,0.008555529451822676,5.131147146224976,0.00062878476,0.0007043119,0.00068430725,0.0014138288,0.01257136,157.73517
28,5.537291707606809e-05,0.008491218433064102,5.100324630737305,0.0006215037,0.00077866385,0.00082000106,0.0014395004,0.014885623,158.4763
29,5.4651435922967024e-05,0.009157855560186959,5.096977710723877,0.00076437375,0.0007808347,0.00071367243,0.0013794285,0.013801148,158.45268
30,6.229874009120942e-05,0.009777124839349666,5.110572338104248,0.00075979164,0.00074868184,0.0007117997,0.001345872,0.014128958,159.61272
